12.14.2021 20:48:49:742,TP31399,B,Move,-5,3, 1,1, -3,7,-4,4, 0,5, -0,8
12.14.2021 20:48:50:991,TP31399,B,EnterTP,-4,9, 1,1, -2,6,
12.14.2021 20:48:54:611,TP31399,A BOT_moral,EnterTP,-1,2, 1,1, -1,0,
12.14.2021 20:48:55:195,TP31399,C BOT_moral,Thank,-4,6, 1,1, 4,4,-1,5, 1,1, -0,5,A BOT_moral
12.14.2021 20:48:58:15,TP31399,A BOT_moral,Kick,-3,0, 1,1, 1,9,-4,6, 1,1, 4,4,C BOT_moral
12.14.2021 20:48:58:16,TP31399,A BOT_moral,Kick,-3,0, 1,1, 1,9,-4,6, 1,1, 4,4,C BOT_moral
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
1.1,0.08,-0.9,0.09,1,0.08,
1,1,-0.9,0.09,1.1,1,
