-0.81,0.05,0.7,0.66,0.91,0.05,
-0.9,0.09,1,0.09,1,0.09,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.9,0.09,1,0.09,1,0.09,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.9,0.09,1,0.09,1,0.09,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:07:819,TP22176,C BOT_moral,Activated,-4,2, 1,1, 0,4,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:08:0,TP22176,A,Move,2,2, 1,1, -1,4,4,9, 0,5, 0,1
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:08:82,TP22176,A,EnterTP,2,3, 1,1, -1,4,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:08:219,TP22176,A,Move,2,4, 1,1, -1,3,4,9, 0,5, 0,1
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
12.14.2021 14:57:08:467,TP22176,A,Move,2,6, 1,1, -1,2,4,9, 0,5, 0,1
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
-0.81,0.05,0.7,0.66,0.91,0.05,
-0.81,0.07,0.91,0.07,0.83,0.07,
